Year;Author;Title;Abstract;estado;justificacion;fase2_score;fase2_clasificacion;fase2_justificacion;fase2_model_used
2025;"X. Wang; D. You; X. Fu; G. Yuan; T. OTA; J. Mayeda; J. Sakamaki; A. A. Fadila; M. Higaki; J. Sudo; H. Takizawa; M. Shirakura; T. Tomura; H. Sakai; K. Kunihiro; K. Okada; A. Shirane";A LEO Satellite Mounted 256-Element 19 GHz CMOS Phased-Array Transmitter With On-Chip Amplitude and Phase Monitor;This article presents a 256-element CMOS active phased-array transmitter (TX) that works in Ka-band downlink for low earth orbit (LEO) small satellite communication (SATCOM) applications. The phased array adapts an on-chip monitor circuit which can be used to detect the amplitude and phase for calibration. The TX chip’s output 1 dB compression point (OP1dB) is 11dBm and saturated output power (Psat) is 12dBm for every path. The phased array can support single circular polarization (CP) and dual circular polarization modes. The maximum effective isotropic radiated power (EIRP) for the single CP wave can reach 64.6 dBm under a power consumption of 37.4W. The error vector magnitude (EVM) of this work can support 256APSK modulation in both single CP mode (at 2 Gbaud symbol rate) and dual CP modes (at 250Mbaud symbol rate). As for beam steering ability, the phased array can cover a beam angle of ±66°. Compared to the conventional TX, this work has a larger beam angle and EIRP without sacrificing too much power consumption.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
2025;"Nguyen, M.Q.; Nguyen, K.K.; Ta, S.X.";A Low-Profile Dual-Band Circularly Polarized Shared-Aperture Grid-Patch/Fabry-Perot Antenna for CubeSat Applications;A dual-band circularly polarized (CP) shared-aperture grid-patch/Fabry-Perot antenna with a low profile is presented for CubeSat applications. A conducting grid layer is incorporated with a periodic metasurface to act as a partially reflective surface (PRS) of the low-profile Fabry-Perot resonant cavity. A slotted circular patch is used as the feed of the Fabry-Perot antenna to produce high-gain CP radiation in the X band. The grid layer of the PRS is reused as a patch radiator in the L band, which is designed with truncated corners to generate CP radiation. The proposed antenna is implemented on a three-layer substrate without air-gap for a sturdy structure. A fabricated prototype with overall size of 98 mm × 98 mm × 3.94 mm achieves right-hand CP radiation within 1.230 GHz to 1.242 GHz and 8.0 GHz to 8.4 GHz with an isolation ≥ 20 dB. Noting that the frequencies and polarization of the two bands can be easily adjusted by using the same design concept. © 2025 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
2020;"Li, S.; Liao, S.; Yang, Y.; Che, W.; Xue, Q.";A Low-Profile Sequential Rotation-Fed Circularly Polarized Annular Aperture Antenna Array for Earth Coverage Applications;This paper presents a new kind of circularly polarized (CP) earth coverage antenna array for small satellites. Different from conventional antenna arrays, its element is annular aperture with CP radiation, which is more suitable to produce earth coverage shaped pattern. By adjusting each element's excitation magnitude, phase and polarization, good shaped pattern can be obtained. For a better illustration, a low-profile prototype with two annular aperture elements for CubeSat applications working at 5GHz is designed. The annular aperture elements are formed by circular patch antenna, and planar inverted-F antennas. A sequential rotation-fed network is also designed to feed the elements. The performance of the array proves the feasibility of proposed theory and array design method. © 2021 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, CubeSat;0.85;observación;The abstract specifically mentions the design of a circularly polarized (CP) earth coverage antenna array for CubeSat applications working at 5GHz. The elements are described as annular aperture elements formed by circular patch antennas and planar inverted-F antennas, which are types of microstrip and printed antennas. The study also evaluates the performance of the array, which aligns with the inclusion criteria of focusing on the design, performance evaluation, and implementation of microstrip or printed antennas for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2022;"Ghosh, Sourav; Baghel, Gaurav Singh; Swati, M.V.";A low-profile, high gain, dual-port, planar array antenna for mm-wave powered 5G IoT systems.;A dual-port, corporate-series fed, planar 8 × 2 rectangular patch compact antenna array with a very high gain is introduced for 28 GHz millimeter wave (mm-wave) communication in 5G Internet of Things (IoT) systems. In the proposed design, successive radiating elements are excited with the same amplitude but opposite phase through two separate feed networks associated with two different ports. To ensure the reliability of the proposed design, a prototype is fabricated and tested. Testing indicates that the measured results closely follow the simulated results, which proves the accuracy of the proposed design. The measured performance specifies that the dual-port antenna array provides impedance bandwidth of 4.3% operating from 27.6–28.8 GHz for | S 11 | ≤ −10 dB, the radiation efficiency of 78%, and gain of 18.2 dB. Measured radiation characteristics verified that the proposed array directs maximum power towards broadside with half-power beam widths (HPBWs) of 24.6°and 9.6°, side lobe;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch, Cubesat_Small_Satellite;;;;
2016;"Figueroa-Torres, C.A.; Luis Medina-Monroy, J.; Lobato-Morales, H.; Arturo Chávez-Pérez, R.; Calvillo-Téllez, A.";A microstrip antenna based on a standing-wave fractal geometry for CubeSat applications;A planar antenna based on the open-loop standing-wave radiator following a fractal design is presented in this paper. The proposed antenna operates at 2.45 GHz with circular polarization and directional radiation, and is designed over an FR-4 substrate. Design methodology and optimization of the structure are detailed. Simulated and experimental results are presented with good agreement between them. Due to its radiation characteristics, reduced dimensions, and low weight, the proposed antenna is an excellent candidate for CubeSat applications. © 2016 Wiley Periodicals, Inc. Microwave Opt Technol Lett 58:2210–2214, 2016. © 2016 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: microstrip antenna, CubeSat;0.9;incluido;The abstract clearly states that the proposed antenna is designed for CubeSat applications, which is a key inclusion criterion. Specific phrases such as 'Due to its radiation characteristics, reduced dimensions, and low weight, the proposed antenna is an excellent candidate for CubeSat applications' indicate that the study focuses on the design and performance evaluation of a microstrip antenna for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2017;"Simón, Jorge; Alvarez-Flores, José Luis; Villanueva-Maldonado, Juvenal; Castillo-Topete, Víctor Hugo; Soriano-Equigua, Leonel; Flores-Troncoso, Jorge";"A Microstrip Second-Iteration Square Koch Dipole Antenna for TT&amp;C Downlink Applications in Small Satellites.";A microstrip second-iteration square Koch dipole fractal antenna is presented. This meandered antenna has a total length of 56.56 cm including its feed gap and was printed on the diagonal of a 100 mm × 100 mm PCB card that acts as CubeSat face. The antenna that was designed to optimize space shows acceptable performance at its resonance frequency of 455 MHz within the 70-centimeter band, a band that is commonly used for TTC CubeSat subsystems. The designed fractal antenna shows a reflection coefficient below −20 dB, a VSWR below 1.2, a −10 dB bandwidth of 50 MHz, and impedance magnitude of 56 Ω, while the average maximum gain around its resonance frequency is 2.14 dBi. All these parameters make this designed antenna suitable for small satellite applications at a band where a linear λ/2 dipolar antenna working at 455 MHz would be about 32.97 cm long, which does not fit within the largest dimension of a CubeSat face corresponding to 14.14 cm.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
2017;"Simõn, J.; Álvarez Flores, J.L.; Villanueva-Maldonado, J.; Castillo, V.H.; Soriano-Equigua, L.; Flores-Troncoso, J.";A Microstrip Second-Iteration Square Koch Dipole Antenna for TT&C Downlink Applications in Small Satellites;A microstrip second-iteration square Koch dipole fractal antenna is presented. This meandered antenna has a total length of 56.56 cm including its feed gap and was printed on the diagonal of a 100 mm × 100 mm PCB card that acts as CubeSat face. The antenna that was designed to optimize space shows acceptable performance at its resonance frequency of 455 MHz within the 70-centimeter band, a band that is commonly used for TTC CubeSat subsystems. The designed fractal antenna shows a reflection coefficient below -20 dB, a VSWR below 1.2, a -10 dB bandwidth of 50 MHz, and impedance magnitude of 56 Ω, while the average maximum gain around its resonance frequency is 2.14 dBi. All these parameters make this designed antenna suitable for small satellite applications at a band where a linear /2 dipolar antenna working at 455 MHz would be about 32.97 cm long, which does not fit within the largest dimension of a CubeSat face corresponding to 14.14 cm. © 2017 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
2020;"Li, Y.; Podilchak, S.K.; Anagnostou, D.E.";A Miniaturized Circularly Polarized Antenna Using a Meandered Folded-Shorted Patch Array for CubeSats;The design and operation of a miniaturized antenna array offering circularly polarized (CP) radiation for CubeSats and other micro-satellites is presented. The proposed antenna array combines folded-shorted patches (FSPs) and meandering for antenna miniaturization. Both techniques enable a decrease of the quarter-wavelength shorted patch while maintaining a quarter-wavelength resonant length. Realization of CP is achieved by an ultra-compact and planar feed circuit consisting of a network of meander-shaped 90° and 180° hybrid couplers, providing quadrature feeding of the FSP elements and for integration onto the backside of the antenna ground plane whose physical dimension is only 9 cm × 9 cm. Good CP performances are observed for the developed UHF-band antenna for the CubeSat standard and with a size of only 0.135 \lambda \times 0.135 \lambda considering the 450 MHz design frequency. © 2020 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
2022;"Zalfani, N.; Beldi, S.; Lahouar, S.; Besbes, K.";A miniaturized planar meander line antenna for UHF CubeSat communication;The use of LoRa (Long Range) wireless communication as an Internet-of-Things (IoT) protocol has great potential. This technology works in the unlicensed ISM band and covers all the globe with different frequencies, which can improve the wide and rapid spread of information. To obtain global IoT coverage using LoRa, the use of satellite networks is mandatory. The development of nanosatellites, mostly in the CubeSat form factor, for communication applications in general and LoRa communication in particular, is currently increasing. To date, these satellites usually use linear wire deployable antennas for communication. However, deployable mechanical systems present the risk of failure during the mission. In fact, one-unit CubeSat geometry allows a very small space (10 cm * 10 cm * 0.06 cm) for the antenna. Since the size of the antenna is proportional to wavelengths, the antenna size is a large problem for low frequencies, especially in the UHF band. For this reason, planar antennas are an attractive solution for CubeSat communications. This work presents the design of a miniaturized printed monopole meander line antenna working at a frequency of 920 MHz. The novelty of the design is obtained by placing the meander line and the ground plane onto similar sides of the antenna. The meander line allows reduction of the antenna size by a factor of λ/5 for the selected operating frequency. The structure of this proposed antenna has a low profile, and a small size of 50 * 80 * 1.635 mm3 or about 0.153λ<inf>0</inf> * 0.245 λ<inf>0</inf>. It has an S11 magnitude of –33.53 dB obtained by simulation and S11 magnitude of −19 dB obtained through experimental measurements. The simulation results also show that the proposed meander line antenna will produce an omnidirectional radiation pattern and a maximum gain of 1.8 dB. © 2022 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
2023;"Kabir, S.S.; Khan, M.H.; Latif, S.I.";A Multi-Band Circularly Polarized-Shared Aperture Antenna for Space Applications at S and X Bands;In this article, a compact multiband antenna design and analysis is presented with a view of ensuring efficient uplink/downlink communications at the same time from a single antenna for CubeSat applications. This design shares the aperture of an S-band slot antenna to accommodate a square patch antenna operating in the X-band. Shared aperture antennas, along with an air gap and dielectric loading, provided good gain in both frequency bands. The S-band patch had an S<inf>11</inf> = −10 dB bandwidth of 30 MHz (2013–2043 MHz, 1.5%), and the X-band antenna demonstrated a bandwidth of 210 MHz (8320–8530 MHz, 2.5%). The Axial Ratio (<3 dB) bandwidth of the slot antenna in the S-band is 7 MHz (2013–2020 MHz, 0.35%), and it is 67 MHz (8433–8500 MHz, 0.8%) in the case of patch antenna in the X-band. While the maximum gain in the S-band reached 7.7 dBic, in the X-band, the peak gain was 12.8 dBic. This performance comparison study shows that the antenna is advantageous in terms of high gain, maintains circular polarization over a wideband, and can replace two antennas needed in CubeSats for uplink/downlink, which essentially saves space. © 2023 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, CubeSat;0.95;incluido;The abstract clearly focuses on the design, performance evaluation, and implementation of a multi-band circularly polarized-shared aperture antenna for CubeSat applications. Key phrases include 'compact multiband antenna design and analysis', 'efficient uplink/downlink communications at the same time from a single antenna for CubeSat applications', and 'can replace two antennas needed in CubeSats for uplink/downlink, which essentially saves space.' These phrases indicate that the study is highly relevant to the systematic review criteria.;qwen/qwen-2.5-72b-instruct
2022;"Barbosa, M.J.C.; Casilao, P.L.R.; Fernando, R.A.O.; Beato, R.M.M.; de la Rosa, M.J.V.; Inojosa, R.A.";A New Modification Approach to Enhance the EM Performance of an S-Band Patch Antenna for Nanosatellite Application;An antenna design capable of providing reliable communication link has been a great research interest in nanosatellite applications. Hence, this study aimed to modify a design of a patch antenna for nanosatellite application operated in S-band, providing an improved antenna performance. The design and electromagnetic (EM) simulation of the antenna are carried out using the Ansys® High Frequency Structure Simulator (HFSS). With regard to the improvement of antenna performance, a reference antenna design was adopted and modified by incorporating various modification approach. The proposed patch antenna is designed on an RT Duroid 5870 dielectric substrate and can resonate well at frequencies 2.330 GHz and 2.585 GHz having minimum return loss of below -20 dB, VSWR of less than 1.7, and a maximum gain of around 7 dBi, respectively. Through the aid of MATLAB® Satellite Communication Toolbox, this study was able to test and evaluate the antenna design performance in terms of link margin and free space path loss proving that the proposed antenna provides better performance. © 2023 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, nanosatellite;0.85;observación;The abstract clearly states that the study focuses on the design and performance evaluation of a patch antenna for nanosatellite applications, specifically in the S-band. Key phrases include 'modify a design of a patch antenna for nanosatellite application operated in S-band', 'proposed patch antenna is designed on an RT Duroid 5870 dielectric substrate', and 'test and evaluate the antenna design performance in terms of link margin and free space path loss'. These elements align well with the inclusion criteria of addressing the design, performance evaluation, and implementation of microstrip or printed antennas for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2016;"Yao, Yelei; Liao, Shaowei; Wang, Jianxun; Xue, Kai; Balfour, Esmond Agurgo; Luo, Yong";A New Patch Antenna Designed for CubeSat: Dual feed, L\/S dual-band stacked, and circularly polarized.;This article describes a dual-feed, L/S-dual-band-stacked, circularly polarized (CP) patch antenna designed for CubeSat. The antenna is formed by three layers and includes a stacked, dual-band patch antenna on the top and a metallic ground with an embedded feeding network at the bottom. Four stubs are symmetrically added around the periphery of each square patch to tune the operating frequency. The feeding network is made of two independent 3-dB branch-line hybrid couplers formed by striplines. A prototype of the designed antenna has been fabricated and measured. Simulated results show good agreement with measured results. Measured return loss is well below -15 dB, while the axial ratio (AR) is better than 2 dB at both operating frequency bands. Moreover, the measured half-power beamwidth (HPBW) exceeds 80? for both working frequencies. Space environment testing procedures were conducted and demonstrated high reliability and antenna stability.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: patch antenna, CubeSat;0.95;incluido;The abstract clearly describes a dual-feed, L/S-dual-band-stacked, circularly polarized patch antenna designed specifically for CubeSat. Key phrases such as 'designed for CubeSat', 'stacked, dual-band patch antenna', and 'space environment testing procedures were conducted and demonstrated high reliability and antenna stability' indicate that the study focuses on the design, performance evaluation, and implementation of a microstrip antenna for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2022;"Aguni, Lahcen; Chabaa, Samira; Ibnyaich, Saida; Sellak, Lahcen; Sarosh, Ahmad; Zeroual, Abdelouhab";A novel automatic‐dependent surveillance‐broadcast patch antenna for aircraft tracking.;This paper focuses on the design of a novel automatic‐dependent surveillance‐broadcast (ADS‐B) patch antenna operating at 1090 MHz with good bandwidth and good gain for aircraft tracking and navigation purposes. The structure of the proposed antenna consists of a long strip line ended by a crescent patch, a U‐shaped ground plane, and a rectangular substrate. The proposed antenna is simulated using both HFSS and CST electromagnetic simulators. The overall dimensions of the antenna are 130 × 26 × 1.6 mm3, and is fabricated on a low‐cost FR‐4 epoxy substrate. Various parameters are determined and analyzed to evaluate the antenna performance in terms of reflection coefficient, impedance bandwidth, radiation pattern, gain, and efficiency. It has been verified and tested that the simulated results are in very good agreement with the measured ones. At the desired frequency of 1090 MHz, the ADS‐B patch antenna has a gain of 2.23 dBi and a measured impedance bandwidth at −10 dB of 200 MHz. The;0;EXCLUDED: Missing required concepts: Cubesat_Small_Satellite;;;;
2021;"Velez, C.A.; Kaddour, A.-S.; Georgakopoulos, S.V.; Ynchausti, C.; Magleby, S.; Howell, L.L.";A Novel Miura-Ori Origami Reflectarray Antenna for CubeSat Applications;This paper proposes a novel high-gain Reflectarray Antenna (RA) design on a foldable structure, which is based on the Miura-Ori origami pattern. The antenna was designed to operate at 8.425 GHz for deep space communication. The origami RA was excited by a 4× 2 circular polarized truncated corner patch array, positioned at a distance of 14 with a 10° offset angle. The proposed reflectarray can be efficiently stowed onto a 6U CubeSat, and in its deployed state it provides a large surface area of 459, 566mm2. Therefore, it is well suited for small satellites and terrestrial tactical applications. © 2022 Elsevier B.V., All rights reserved.;0;EXCLUDED: Contains exclusion keywords: reflectarray;;;;
2022;"Di Carlofelice, A.; Di Giampaolo, E.; Tognolatti, P.";A Numerical Procedure to Design a UWB Aperture-Coupled Microstrip Antenna Suitable for Space Applications;In this paper, we show a dual-polarized ultra-wideband aperture-coupled microstrip antennae (ACMA) to be used in space missions such as CubeSat Ka-band applications. We also report the specific developed design procedure, which is distinguished from other design procedures by minimizing the complexity of construction, since it utilizes a simple multilayer structure without interlayer interconnections or inclusions. This design procedure develops an architecture for ACMA with the main objective of minimizing costs in large-scale production. The design starts from assigned specifications in terms of fractional bandwidth constrained to be larger than 40%, return loss better than 10 dB, and polarization purity and polarization isolation better than 25 dB, using materials with adequate ohmic and dielectric losses. A frequency-scaled prototype has been also designed, realized, and measured. Good agreement between the simulation and measurement results has been obtained. © 2022 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: microstrip antenna, CubeSat;0.9;incluido;The abstract clearly states that the study focuses on designing a dual-polarized ultra-wideband aperture-coupled microstrip antenna (ACMA) for CubeSat Ka-band applications. It also mentions the specific design procedure, performance metrics (fractional bandwidth, return loss, polarization purity, and isolation), and the development of a frequency-scaled prototype, which aligns with the inclusion criteria of addressing the design, performance evaluation, and implementation of microstrip or printed antennas for CubeSat communication systems.;qwen/qwen-2.5-72b-instruct
2019;"Ta, Son Xuat; Nguyen, Khac Kiem; Dao-Ngoc, Chien";A Planar Wideband Two-Level Sequentially Rotated Array Antenna for X-Band CubeSat.;"A planar wideband circularly-polarized (CP) antenna array is designed for an X-band CubeSat. The design is a two-level sequential phase architecture, consisting of a 4 × 4 element array composed of sequentially rotated of 2×2 subarrays. Each subarray consists of sequentially rotated 2×2 antennas using metasurface. These antenna elements are incorporated with a two-level sequentially rotated phase network in order to obtain wideband characteristic and high gain. The final prototype with a size of 100mm × 100mm × 2.032mm yields a measured |S11| &lt; -10 dB bandwidth of 50% (6-10 GHz) and measured axial ratio &lt; 3-dB bandwidth of 40.7% (6.45-9.75 GHz). Additionally, the proposed design achieves a good broadside right-hand CP radiation with a peak gain of 17.0 dBic, 3- dB gain bandwidth of 20.4% (7.5-9.2GHz), and radiation efficiency of &gt; 82%. With these features, the proposed antenna can be compatible with any CubeSat standard structure, as well as other small satellites.";0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch;;;;
2019;Thomas, A.;A printed microstrip antenna for cube satellites First steps towards the two metre amateur band;This paper reports on early experiments to design a functional microstrip antenna for one face of a 10 cm × 10 cm Cubesat. The objective is to design an antenna with no moving parts and a minimum of soldered components. Microstrip antennas are printed circuit boards where the copper track acts as a radiating element. A literature search suggests that most microstrip antenna designs are resonant for either RFID circuits around 900 MHz or for microwave frequencies at 2.4 GHz or above. This means that no design is readily available for the popular bands for satellite telemetry, the 145 MHz and 435 MHz amateur bands. Small circuit boards can be ordered online, relatively inexpensively, from production companies in China, thus making it possible for further experimentation to take place. This paper is written to encourage such experimentation. © 2019 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: microstrip antenna, CubeSat;0.0;excluido;API call failed: Expecting value: line 1 column 1 (char 0);qwen/qwen-2.5-72b-instruct
2020;"Liu, S.; Raad, R.; Theoharis, P.I.; Tubbal, F.";A printed yagi antenna for cubesat with multi- frequency tilt operation;In this paper, a printed Yagi antenna with an integrated balun is proposed for CubeSat communications. The printed antenna is mechanically adjustable to realize three functional states at different operating frequencies in the L-band and S-band respectively. Three different angle deployments are proposed at 10°, 50° and 90°, so that the antenna operates at three different operating frequencies, namely 1.3 GHz (L-band), 2.4 GHz (S-band) and 3 GHz (S-band). The measured results of the fabricated antenna are well matched with the simulation, having frequencies of 2.82–3.07 GHz, 1.3–1.4 GHz and 2.38–2.57 GHz, with similar radiation patterns. The measured gain of the antenna is 8.167 dBi at 2.4 GHz, 5.278 dBi at 1.3 GHz and 6.120 dBi at 3 GHz. Keeping within the general theme of cheap off the shelf components for CubeSats, this antenna design allows the CubeSat designers to choose from three popular frequencies, through a simple angle configuration. The main contribution of this work lies with the reconfigurable frequency, relatively high gain and simplicity of design. © 2020 Elsevier B.V., All rights reserved.;1;INCLUDED: All concepts present (Microstrip_Antenna_Patch=YES, Cubesat_Small_Satellite=YES). Keywords found: printed antenna, CubeSat;0.95;incluido;The abstract clearly addresses the design, performance evaluation, and implementation of a printed Yagi antenna specifically for CubeSat communication systems. Key phrases include 'proposed for CubeSat communications', 'operates at three different operating frequencies, namely 1.3 GHz (L-band), 2.4 GHz (S-band) and 3 GHz (S-band)', and 'the main contribution of this work lies with the reconfigurable frequency, relatively high gain and simplicity of design'. These elements align well with the inclusion criteria.;qwen/qwen-2.5-72b-instruct
2022;"Lin, Z.; Zhang, K.; Ma, C.; Wang, F.";A Quadrifilar Helix Antenna for LEO Satellite Navigation Augmentation Module;With the demand and development of high-precision navigation and positioning, low earth orbit (LEO) satellite constellation as a new satellite platform with navigation augmentation is rising rapidly. Due to the limitation of size, a miniaturized and multi-band transmitting antenna with inconsistent phase center is a challenge. In this paper, a multi-band printed quadrifilar helix antenna (PQHA) is proposed for LEO to achieve triband. Four helical arms are equidistantly wrapped around a supporting cylinder, with diameter of 60mm and height of 220mm. The antenna can provide bandwidth of 200MHz for satellite navigation, which contains GPS L1/L2, and BDS B1/B2/B3. Based on the simulation, the proposed antenna can be a good candidate for LEO platform. © 2022 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch, Cubesat_Small_Satellite;;;;
2022;"Kundu, D.; Bhattacharya, D.; Ruchi, R.";A Single-Layer Broadband Reflectarray in K-Band Using Cross-Loop Slotted Patch Elements;A broadband linearly polarized reflectarray antenna is designed by modifying a typically narrowband square patch unit element with cross-loop slot (CLS). Due to the introduction of the CLS, the unit patch element becomes multi-resonant and miniaturized. Besides, the outer length and width of the CLS are one-to-one related to the length of the patch. As a result, more than 480° phase range with quite good linearity is achieved. In addition, the phase ranges are almost parallel to each other from 22.5-26.5 GHz, which signifies its broadband property. Using such 36× 36 CLS patches in a square aperture of 180 mm ×180 mm size, an offset-fed reflectarray is constructed for an off-broadside radiation pattern. A prototype has been fabricated to experimentally validate the numerical results obtained using CST full-wave simulations. The measurement results exhibit a broad 1-dB gain bandwidth of 17.6% (22.44-26.78 GHz) and a peak gain of 32.2 dBi with an aperture efficiency of 60.6%. Moreover, both the cross-pol and side-lobe levels (SLLs) remain more than 40 dB and 21 dB, respectively, below the peak co-pol level throughout the 1-dB gain bandwidth. The proposed reflectarray can be used as a CubeSat antenna for K-band inter-satellite links (ISL). © 2022 Elsevier B.V., All rights reserved.;0;EXCLUDED: Contains exclusion keywords: reflectarray;;;;
2018;"Alam, T.; Islam, M.T.; Ullah, Md.A.; Cho, M.";A solar panel-integrated modified planner inverted F antenna for low earth orbit remote sensing nanosatellite communication system;One of the most efficient methods to observe the impact of geographical, environmental, and geological changes is remote sensing. Nowadays, nanosatellites are being used to observe climate change using remote sensing technology. Communication between a remote sensing nanosatellite and Earth significantly depends upon antenna systems. Body-mounted solar panels are the main source of satellite operating power unless deployable solar panels are used. Lower ultra-high frequency (UHF) nanosatellite antenna design is a crucial challenge due to the physical size constraint and the need for solar panel integration. Moreover, nanosatellite space missions are vulnerable because of antenna and solar panel deployment complexity. This paper proposes a solar panel-integrated modified planner inverted F antenna (PIFA) to mitigate these crucial limitations. The antenna consists of a slotted rectangular radiating patch with coaxial probe feeding and a rectangular ground plane. The proposed antenna has achieved a −10 dB impedance bandwidth of 6.0 MHz (447.5 MHz–453.5 MHz) with a smallsized (80 mm× 90 mm× 0.5 mm) radiating element. In addition, the antenna achieved a maximum realized gain of 0.6 dB and a total efficiency of 67.45% with the nanosatellite structure and a solar panel. The challenges addressed by the proposed antenna are to ensure solar panel placement between the radiating element and the ground plane, and provide approximately 55% open space to allow solar irradiance into the solar panel. © 2018 Elsevier B.V., All rights reserved.;0;EXCLUDED: Contains exclusion keywords: solar panel;;;;
2024;"Nguyen, N.-L.; Bui, C.D.; Nguyen, S.N.; Duy, T.T.; Nguyen, T.N.; Tu, L.-T.";A Stacked Planar Antenna Array with Frequency Selective Surface for Downlink Applications of Small Satellites;In this paper, a low-profile and broadband array antenna is proposed for satellite downlink applications. The proposed antenna is comprised of 4 × 4 elements, which are yielded for the downlink of the C band from 3.7 to 4.8 GHz. By arranging frequency selective surface (FSS) unit cells according to a new architecture, high directivity and broadband are provided, in which each element is covered by a lattice of 3 × 3 periodic metal plates. Based on RO4350B, the final design with a total size of 180 × 180 × 3.175 mm3 (2.38λ × 2.38λ × 0.04λ at the lowest frequency of 3.97 GHz) has been fabricated, measured, and witnessed a broadband characteristic with S<inf>11</inf> < −10 dB of 36% (3.97–5.5 GHz). In addition, the proposed antenna achieves a peak gain of 16 dBi and a radiation efficiency of 71%. © 2024 Elsevier B.V., All rights reserved.;0;EXCLUDED: Missing required concepts: Microstrip_Antenna_Patch, Cubesat_Small_Satellite;;;;
2024;"S. S. Carvalho; J. R. V. Reis; R. F. S. Caldeirinha";A State-of-the-Art Review on 4D Printed Antennas and Other Adaptable Designs;This article offers a thorough review of the current state-of-the-art in four-dimensional (4D) printed antennas and possible adaptable designs. It provides a succinct examination of various categories of materials used in three-dimensional (3D) and 4D printing, including the utilization of smart materials available in both printable and synthesized forms. The review encompasses a concise analysis of fabrication techniques, stimuli, and response behaviors applied in various types of smart materials. These materials have the potential to fabricate antennas with tunable and reconfigurable properties, including frequency of operation, bandwidth, gain, and radiation pattern. Given the novelty of applying 4D printing in antenna technologies, the review also considers additional reconfigurable antennas with mechanically tunable properties, as well as those in non-printed formats. This exploration hints at potential adaptations to the latter for the development of 4D printed antennas. The utilization of 4D printing presents a complex yet intriguing approach to antenna fabrication, offering the possibility of creating dynamic antennas with sophisticated characteristics.;0;EXCLUDED: Contains exclusion keywords: state-of-the-art;;;;
2016;"Yekan, T.; Baktur, R.";A study of meshed patch reflectarray unit cell;Meshed patch antenna unit cells of reflectarray, with reasonable optical transparencies are studied. Being transparent, the reflectrarry is expected to facilitate direct integration on solar cells of small satellites. Design parameters, trade-offs between the antenna properties and the transparency, and two different of lattice sizes are presented. © 2016 Elsevier B.V., All rights reserved.;0;EXCLUDED: Contains exclusion keywords: reflectarray;;;;
